filename,date,rating,tags,,,,
fortune teller.png,2023-05-07,0,bg,,,,
electricity omake.png,2023-05-03,1,b&w,,,,
electricity.png,2023-04-29,2,violence,b&w,bg,,
remy.png,2023-04-22,1,androphilia,street fighter,,,
ya satana.png,2023-04-16,1,b&w,oc,,,
Valentina.png,2023-03-12,1,b&w,oc,,,
alex schoolgirl.png,2023-03-04,0,androphilia,street fighter,bg,,
self portrait cube 2.png,2023-02-17,0,b&w,abstract,,,
self portrait cube 1.png,2023-02-16,0,b&w,abstract,,,
bat witha bat.png,2023-02-12,2,,,,,
boys selct.png,2023-02-07,1,androphilia,redraw,,,
sauve man hat.png,2023-01-13,1,b&w,portrait,dream inspired,,
sauve man.png,2023-01-13,1,b&w,portrait,dream inspired,,
power.gif,2023-01-07,1,portrait,painting,animated,dream inspired,
self portrait.png,2022-12-27,1,b&w,portrait,painting,,
muscle boy.png,2022-12-25,1,b&w,androphilia,,,
concious.png,2022-12-08,1,abstract,portrait,painting,dream inspired,
gothy alex.png,2022-11-27,1,androphilia,street fighter,bg,
statua.png,2022-11-26,1,painting,,,,
Obraz (47).png,2022-11-23,1,b&w,abstract,portrait,dream inspired,
so tired.png,2022-11-23,1,abstract,portrait,redraw,,
soeep.png,2022-11-23,1,oc,,,,
the chest plate.gif,2022-11-15,2,b&w,animated,dream inspired,,
ai redraw boy.png,2022-11-12,1,androphilia,redraw,,,
portrait.png,2022-11-08,1,portrait,painting,,,
kicia.jpg,2022-10-26,2,portrait,painting,,,
them.png,2022-10-22,2,b&w,oc,,,
authority.png,2022-10-03,2,redraw,portrait,painting,,
agony.png,2022-09-24,1,violence,b&w,abstract,bg,
bunny girl.png,2022-09-24,1,b&w,,,,
nightmare.png,2022-09-11,1,abstract,bg,paint.net,dream inspired,
guide.png,2022-08-29,1,b&w,androphilia,paint.net,guide
akumaa.png,2022-07-24,1,street fighter,,,,
Obraz (11).jpg,2022-07-18,1,b&w,redraw,,,
dream.png,2022-07-12,1,violence,b&w,abstract,bg,paint.net
guide skirt.png,2022-07-11,1,androphilia,paint.net,guide,,
spin .png,2022-06-03,1,b&w,portrait,paint.net,,
fish tattoo.png,2022-05-06,1,b&w,paint.net,,,eyes redraw.jpg,2023-05-12,1,redraw,portrait,painting,
